Age Group,Programs,Agencies,Short Description that relate to program,Address,Phone Number,,Registration,Cost,Logo,Entered Into the database
0-5,Arts & Culture,Deas Island Dance,"Ballet, Modern, Jazz, Lyrical Jazz, Hip Hop, Tap","270-6165 Hwy 17A Delta,
BC, V4K 5B8",604-946-5867,www.deasislanddance.com,Registered,Paid,,Done
6-12,Arts & Culture,Deas Island Dance,"Ballet, Modern, Jazz, Lyrical Jazz, Hip Hop, Tap","270-6165 Hwy 17A Delta,
BC, V4K 5B8",604-946-5867,www.deasislanddance.com,Registered,Paid,,Done
0-5,Arts & Culture,Studio West,"Ballet, Jazz, Tap, Hip Hop, Musical Theatre, Lyrical, Contemporary","2nd Floor, 4866 Delta Street
Ladner, B.C.  V4K 2T8",604-940-9953,http://www.studiowestdance.ca/,Registered,Paid,,Done
6-12,Arts & Culture,Studio West,"Ballet, Jazz, Tap, Hip Hop, Musical Theatre, Lyrical, Contemporary","2nd Floor, 4866 Delta Street
Ladner, B.C.  V4K 2T8",604-940-9953,http://www.studiowestdance.ca/,Registered,Paid,,Done
6-12,Arts & Culture,Burns Bog Conservation Society,"Nature classes, workshops, special events as well as tours of Burns Bog","4-7953 120th Street 
Delta, BC V4C 6P6",604.572.0373 ,www.burnsbog.org,Registered,Paid,,Done
6-12,Arts & Culture,Delta Community Music School,Music,"4705 Arthur Drive
Delta, BC V4K2X5",604-946-1280,www.dcms.ca,Registered,Paid,,Done
0-5,Arts & Culture,Free Flight Dance,It is an award winning academy whose owner is fully accredited with the Royal Academy of Dance. Classes for 3-5 years old,"4942 Chisholm Street, Delta BC, V4K 3X2",604-946-8586,www.freeflightdance.com,Registered,Paid,,Done
6-12,Arts & Culture,Free Flight Dance,"It is an award winning academy whose owner is fully accredited with the Royal Academy of Dance. It excels in providing general and elite training in Ballet (including Royal Academy of Dance examination preparation to the Advance 2 level), Jazz, Tap, Hip Hop, Contemporary, Lyrical, Musical Theatre, Stage, Flamenco, and Acro.","4942 Chisholm Street, Delta BC, V4K 3X2",604-946-8586,www.freeflightdance.com,Registered,Paid,,Done
0-5,Arts & Culture,Surrey Arts Umbrella,"Since 1979, Arts Umbrella has fostered a place with no creative limits – and for kids, creativity means possibilities. Arts Umbrella is a non-profit arts education organization offering Performing and Visual Arts classes to children, youth, and teens.","N116 – 15850 26 Ave, South Surrey, BC V3Z 2N6",604-535-1127,www.artsumbrella.com/surrey,Registered,Paid,,Done
6-12,Arts & Culture,Surrey Arts Umbrella,"Since 1979, Arts Umbrella has fostered a place with no creative limits – and for kids, creativity means possibilities. Arts Umbrella is a non-profit arts education organization offering Performing and Visual Arts classes to children, youth, and teens.","N116 – 15850 26 Ave, South Surrey, BC V3Z 2N6",604-535-1127,www.artsumbrella.com/surrey,Registered,Paid,,Done
6-12,Arts & Culture,Nurturing Nature,Nature classes,,778-999-4175,www.nurturingnature.weebly.com,Registered,Paid,,Done
0-5,Arts & Culture,Delta Parks & Recreation,"Various, such as: Dance, Music, Parent & Tot, Playtime, Reading","Harris Barn, 4140 Arthur Dr, Delta, BC V4K 1A7",,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,Done
0-5,Arts & Culture,Delta Parks & Recreation,"Various, such as: Acting, Birthday Parties, Cooking, Dance, Nature classes, Music, Parent & Tot, Playtime, Reading","Ladner Community Centre,4734 51 Street, Delta, BC V4K 3R8",604-946-9226,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,Done
0-5,Arts & Culture,Delta Parks & Recreation,"Various, such as: Acting, Birthday Parties, Cooking, Dance, Nature classes, Music, Parent & Tot, Playtime, Reading","North Delta Recreation Centre, 11415 84 Avenue, Delta, BC V4C 2L9",604-952-3045,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,Done
0-5,Arts & Culture,Delta Parks & Recreation,"Various, such as: Acting, Birthday Parties, Cooking, Dance, Nature classes, Music, Parent & Tot, Playtime, Reading","South Delta Recreation Centre, 1720 56 Street, Delta, BC V4L 2B1",604-952-3020,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,Done
0-5,Arts & Culture,Delta Parks & Recreation,"Various, such as: Acting, Birthday Parties, Cooking, Dance, Nature classes, Music, Parent & Tot, Playtime, Reading","Tsawwassen Arts Centre, 1172 56 Street, Delta, BC V4L 2A3",604-943-9437,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,Done
6-12,Arts & Culture,Delta Parks & Recreation,"May Include: Acting, Art, Baking, Ballet, Cooking, Dance, Drama, Drawing, Guitar, Lego, Magic, Painting, Piano, Pottery, Science, Sewing, Singing, Storytelling, Theatre, Zumba","Harris Barn, 4140 Arthur Dr, Delta, BC V4K 1A7",,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,Done
6-12,Arts & Culture,Delta Parks & Recreation,"May Include: Acting, Art, Baking, Ballet, Cooking, Dance, Drama, Drawing, Guitar, Lego, Magic, Painting, Piano, Pottery, Science, Sewing, Singing, Storytelling, Theatre, Zumba","North Delta Recreation Centre, 11415 84 Avenue, Delta, BC V4C 2L9",604-952-3045,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,Done
6-12,Arts & Culture,Delta Parks & Recreation,"May Include: Acting, Art, Baking, Ballet, Cooking, Dance, Drama, Drawing, Guitar, Lego, Magic, Painting, Piano, Pottery, Science, Sewing, Singing, Storytelling, Theatre, Zumba","South Delta Recreation Centre, 1720 56 Street, Delta, BC V4L 2B1",604-952-3020,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,Done
6-12,Arts & Culture,Delta Parks & Recreation,"May Include: Acting, Art, Baking, Ballet, Cooking, Dance, Drama, Drawing, Guitar, Lego, Magic, Painting, Piano, Pottery, Science, Sewing, Singing, Storytelling, Theatre, Zumba","Tsawwassen Arts Centre, 1172 56 Street, Delta, BC V4L 2A3",604-943-9437,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,Done
6-12,Arts & Culture,Delta Parks & Recreation,"May Include: Acting, Art, Baking, Ballet, Cooking, Dance, Drama, Drawing, Guitar, Lego, Magic, Painting, Piano, Pottery, Science, Sewing, Singing, Storytelling, Theatre, Zumba","Ladner Community Centre,4734 51 Street, Delta, BC V4K 3R8",604-946-9226,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,Done
6-12,Arts & Culture,Delta Parks & Recreation,"May Include: Acting, Art, Baking, Ballet, Cooking, Dance, Drama, Drawing, Guitar, Lego, Magic, Painting, Piano, Pottery, Science, Sewing, Singing, Storytelling, Theatre, Zumba","Sungod Recreation Centre, 7815 112 Street, Delta, BC V4C 4V9",604-952-3075,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,Done
6-12,Child Care,Boys & Girls Club of the South Coast,"Hillside Club: To kids, their Club feels like a place where they can hang out with their friends, and make new ones! But it’s so much more. It’s a safe place that provides them with three of the things they need most: a sense of belonging, a sense of success, and positive relationships. That happens through a wide range of activities that are not only of interest to kids, but that are good for them, too: sports, homework, safe access to the on-line world, arts, crafts, and of course, sharing meals.","11339-84th Ave., North Delta V4C 2L9",604.596.9595,https://www.bgcbc.ca/what-we-do/clubs/hillside-club/,Registered,Paid,,Done
6-12,Child Care,Delta Gymnastics,Registered daycamps during the holidays,"4680 Clarence Taylor Cres. Delta, V4K 3X3",604-943-0460,http://deltagymnastics.com/,Registered,Paid,,w
6-12,Child Care,Boys & Girls Club of the South Coast,"Wintemute Club: To kids, their Club feels like a place where they can hang out with their friends, and make new ones! But it’s so much more. It’s a safe place that provides them with three of the things they need most: a sense of belonging, a sense of success, and positive relationships. That happens through a wide range of activities that are not only of interest to kids, but that are good for them, too: sports, homework, safe access to the on-line world, arts, crafts, and of course, sharing meals.","4727 Arthur Drive, Ladner, BC V4K 2X5",604.946.2027,https://www.bgcbc.ca/what-we-do/clubs/wintemute-club/,Registered,Paid,,
6-12,Child Care,Boys & Girls Club of the South Coast,"Winskill Club: To kids, their Club feels like a place where they can hang out with their friends, and make new ones! But it’s so much more. It’s a safe place that provides them with three of the things they need most: a sense of belonging, a sense of success, and positive relationships. That happens through a wide range of activities that are not only of interest to kids, but that are good for them, too: sports, homework, safe access to the on-line world, arts, crafts, and of course, sharing meals.","5555-9th Avenue, Tsawwassen, BC V4M 1W1",604.943.9873 ,https://www.bgcbc.ca/what-we-do/clubs/winskill-club/,Registered,Paid,,
6-12,Child Care,Childcare Resource Referral,Listing of before and after school care providers,"Newton Early Years Centre
100-6846 King George Boulevard
Surrey, B.C. V3W 4Z9",604.572.8032,http://www.childcareoptions.ca/,Registered,Paid,,Done
6-12,Child Care,Delta Life Skills,Delta Life Skills Society was started over 25 years ago by a dedicated core group of parents who recognized that the long summer break can be a tough time for special needs kids who need the stability of a routine. ,"PO Box 18625 Ladner Postal Outlet, Delta BC V4K 4V7",604-314-7438,http://deltalifeskills.net/,Registered,Piad,,
6-12,Child Care,Delta Parks & Recreation,"May offer: Winter break, Spring Break and Summer Day Camps","Harris Barn, 4140 Arthur Dr, Delta, BC V4K 1A7",,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Child Care,Delta Parks & Recreation,"A fully supervised before and after school program which provides after care to children. Children have the opportunity to be physically active, make new friends, and learn new skills.","Pinewood Leisure Centre, 11777 Pinewood Drive, Delta, BC V4E 3E9",604-952-3075,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Child Care,Delta Parks & Recreation,"A fully supervised before and after school program which provides after care to children. Children have the opportunity to be physically active, make new friends, and learn new skills.","South Delta Recreation Centre, 1720 56 Street, Delta, BC V4L 2B1",604-952-3020,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Child Care,Delta Parks & Recreation,"May offer: Winter break, Spring Break and Summer Day Camps","Tsawwassen Arts Centre, 1172 56 Street, Delta, BC V4L 2A3",604-943-9437,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Child Care,Delta Parks & Recreation,"May offer: Winter break, Spring Break and Summer Day Camps","Pinewood Leisure Centre, 11777 Pinewood Drive, Delta, BC V4E 3E9",604-952-3075,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Child Care,Delta Parks & Recreation,"May offer: Winter break, Spring Break and Summer Day Camps","South Delta Recreation Centre, 1720 56 Street, Delta, BC V4L 2B1",,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Child Care,Delta Parks & Recreation,"May offer: Winter break, Spring Break and Summer Day Camps","Ladner Community Centre,4734 51 Street, Delta, BC V4K 3R8",604-946-9226,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Child Care,Delta Parks & Recreation,"May offer: Winter break, Spring Break and Summer Day Camps","North Delta Recreation Centre, 11415 84 Avenue, Delta, BC V4C 2L9",604-952-3045,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
