Category,Service,Agency,Phone number,Address,Website,Description that relate to service,Tags,Logo,Entered into the Database
Families,Assistance with fees,Child Care Resource & Referral Program (CCRR),604-572-8032,"#100-6846 King George Boulevard, Surrey, BC",http://www.childcareoptions.ca/,Information about eligibility and rates for child care subsidies.,"Preschool, Childcare",,
Families,Assistance with fees,Boys and Girls Club South Coast BC,604-591-9262,"3rd Floor, 11861 88th Avenue, Delta, BC, V4C 3C6",https://www.bgcbc.ca/,Financial subsidies for summer camp and after school programs.,"sports, camp",,
Families,Help in a Crisis,Deltassist,604-594-3455,"Delta, BC",http://www.deltaassist.com/community/community-fund-emergency-food,Food and bus tickets when help is not available elsewhere. Support is one time only and connections will be made to other assistance in the community,"subsidies, food, funding",,
Families,Assistance with fees,Canadian Tire Jump Start,604-591-9262,"Delta, BC",http://jumpstart.canadiantire.ca/en.html,Financial subsidies for children aged 5-17 in sports,"subsidies, sports",,
Families,Assistance with fees,BC Healthy Kids Program,1-866-866-0800,"Delta, BC",http://www2.gov.bc.ca/gov/content/health/managing-your-health/healthy-women-children/child-teen-health/dental-eyeglasses,"Check with your dentist/optician to make sure they participate in the program. You are automatically eligible if you have MSP premium assistance. Children get $2,000 of free dental every two years plus emergency dental. Children get free lenses and basic frames once a year with a current prescription. Children get free hearing aids, repairs, and cochlear implants. (Orthodontics and Contacts are not covered.)","subsidies, health, dentist, glasses",,
Families,Assistance with fees,"Delta Parks, Recreation and Culture",604-946-4141,"Delta, BC",http://www.delta.ca/parks-recreation/sport-recreation/recreation-access,"Grade 5, 6, 7 & 8 students in Delta: Eligible for free admission to use drop in programs at all Delta Parks, Recreation and Culture programs. $5 administration fee per year.","subsidies, sports",,
Families,Assistance with fees,"Delta Parks, Recreation and Culture",604-946-3298,"Delta, BC",http://www.delta.ca/parks-recreation/sport-recreation/recreation-access,"The Corporation of Delta’s Leisure Access Assistance Program allows eligible, low-income Delta residents (individuals or families) to access drop-in land & aquatic fitness classes, weight room sessions, public swims, open gyms & public skating.","subsidies, sports",,
Families,Assistance with fees,Eric Ripplinger Memorial Fund for Swimming Lessons for Youth,604-946-3305,"Delta, BC",http://www.delta.ca/parks-recreation/sport-recreation/recreation-access,Financial subsidies for Delta children to learn how to swim,"subsidies, sports",,
Families,Assistance with fees,Julia and Henry Aldrich Memorial Fund for Youth,aldrichfund@corp.delta.bc.ca,"Delta, BC",http://www.delta.ca/parks-recreation/sport-recreation/recreation-access,"Delta residents 6 months to 18 years of age for full or partial payment of introductory recreation programs offered through Delta Parks, Recreation and Culture","subsidies, sports",,
Families,Assistance with fees,Kidsport,604-943-0460,"4680 Clarence Taylor Cres., Delta BC, V4K 3X3",http://www.kidsportcanada.ca/british-columbia/delta/,Financial subsidies for children participating in sports.,"subsidies, sports",,
Children,Child Advocacy,Reporting child abuse,1-800-663-9122,"Delta, BC",http://www2.gov.bc.ca/gov/content/safety/public-safety/protecting-children/keeping-kids-safe,"If you think a child or youth under 19 years of age is being abused or neglected, you have the legal duty to report your concern. In an emergency call 911","Crisis, child abuse",,Done
Children,Child Advocacy,"Ministry for Children and Family Development, Child Welfare Concerns",1 800 663 9122,"Delta, BC", http://www2.gov.bc.ca/gov/content/safety/public-safety/protecting-children/reporting-child-abuse,Phone number for reporting suspected child abuse. In an emergency call 911.,"child abuse, crisis",,
Children,Child Advocacy,"Ministry of Justice, Public Guardian and Trustee of BC",604-660-4444 ,"Delta, BC",http://www.trustee.bc.ca,Works to protect the legal rights and interests of vulnerable British Columbians. Protect the legal and financial interests of children under the age of 19 years.,child rights,,
Children,Child Advocacy,Representative of Children and Youth,1-800-476-3933 ,"Delta, BC",https://www.rcybc.ca/,"The Representative for Children and Youth supports children, youth and families who need help in dealing with the child-serving system.","child rights, child abuse",,
Families,Childcare & Preschool,Child Care Resource & Referral Program (CCRR),604-572-8032,"#100-6846 King George Boulevard, Surrey, BC",http://www.childcareoptions.ca/,"Listing of preschools, child care programs, and service providers","Preschool, Childcare",,
Families,Childcare & Preschool,Fraser Health - Licensed Child Care,,"Delta, BC",http://www.fraserhealth.ca/health-info/health-topics/child-care/find-daycares/,Listing of licensed child care programs. Complaints and investigations. ,"childcare, child care",,
Families,Childcare & Preschool,Ministry of Children & Family Development,1-888-338-6622,"Delta, BC",http://www2.gov.bc.ca/gov/content/family-social-supports/caring-for-young-children/running-daycare-preschool/child-care-subsidy,"For information on eligibility, rates and frequently asked questions on BC Child Care subsidy program.",subsidy,,
Children,Health & Development,North Delta Early Years Centre,778-578-7840,"11415 84 Ave, Delta, BC V4C 2L9",https://www.facebook.com/deltaearlyyears/,"Assement days, therapy rooms","screening, health, mental health, support",,
Children,Health & Development,Health Link BC,Call 811,"Delta, BC",https://www.healthlinkbc.ca/,Advice from nurses available 24 hours a day. For emergencies call 911.,health,,
Children,Health & Development,Find a family doctor,,"Delta, BC",https://www.cpsbc.ca/physician_search,Find family doctors accepting new patients. Family doctors are your first stop for any health questions or concerns.,"health, doctor",,
Pregnancy & Babies,Health & Development,Health Link BC,Call 811,"Delta, BC",https://www.healthlinkbc.ca/,"Advice from nurses available 24 hours a day. For emergencies call 911. (Baby, Health, Pregnancy)","Baby, Health, Pregnancy",,
Children,Health & Development,Public Health Nurse,604-507-5400,"North Delta Health Unit, 11245 84 Ave, Delta, BC V4C 2L9",http://www.fraserhealth.ca/health-info/health-topics/school-health/,"Our School Health program provides immunizations as well as health information and promotion to school-aged children, staff and parents. Our public health nurses also provide referrals for services and assessments such as speech, hearing, nutrition and mental health. (North Delta)","health, baby, child, pregnancy",,
Pregnancy & Babies,Health & Development,Fraser Health,604-507-5400,"North Delta Public Health Unit, 11245 84 Avenue, Delta, B.C. V4C 2L9",http://www.fraserhealth.ca/health-info/pregnancy-and-babies/,Health program and information for pregnant moms and infants. (North Delta),"Baby, Health, Pregnancy",,
Children,Health & Development,Public Health Nurse,604-952-3550,"South Delta Health Unit, 4470 Clarence Taylor Crescent, Delta, BC V4K 3W3",http://www.fraserhealth.ca/health-info/health-topics/school-health/,"Our School Health program provides immunizations as well as health information and promotion to school-aged children, staff and parents. Our public health nurses also provide referrals for services and assessments such as speech, hearing, nutrition and mental health. (South Delta)","health, baby, child, pregnancy",,
Pregnancy & Babies,Health & Development,Fraser Health,604-952-3550,"South Delta Public Health Unit, 4470 Clarence Taylor Crescent, Delta, B.C. V4K 3W3",http://www.fraserhealth.ca/health-info/pregnancy-and-babies/,Health program and information for pregnant moms and infants. (South Delta),"Baby, Health, Pregnancy",http://www.fraserhealth.ca/media/187x999/FraserHealth_Logo.png,
Children,Help in a Crisis,Crisis Line,310-6789,"Delta, BC",http://www.crisislines.bc.ca/,Crisis line for any one. In an emergency call 911,"crisis, mental health, help",,
Children,Help in a Crisis,Emergency Line,911,"Delta, BC",https://www.ecomm911.ca/,"For Fire, Police & Ambulance","help, crisis",,
Children,Help in a Crisis,Suicide Hotline,1-800-784-2433,"Delta, BC",http://www.crisislines.bc.ca/,Help for those considering suicide.,"suicide, mental health",,
Children,Help in a Crisis,YouthinBC 24/7 crisis line,1-866-661-3311,"Delta, BC",http://youthinbc.com/,"YouthInBC.com is a program of the Crisis Centre. It Connects youth with support, information and resources. In an emergency call 911.","crisis, mental health, help",,
Children,Help in a Crisis,Kids Help Phone,1-800-668-6868,"Delta, BC",https://kidshelpphone.ca/,National charity with counselors available 24 hours a day for children and teens. In an emergency call 911.,"crisis, mental health, help",,
Families,Help in a Crisis,Children's Helpline,310-1234,"Delta, BC",http://www2.gov.bc.ca/gov/content/safety/public-safety/protecting-children/keeping-kids-safe,"Ministry of Children and Family Development runs a helpline for children and youth 24 hours a day. Parents, friends and families can also call. In an emergency call 911.","help, crisis",,
Families,Help in a Crisis,Crisis Line,310-6789 ,"Delta, BC",http://www.crisislines.bc.ca/,Crisis line for any one.,"help, crisis",,
Families,Help in a Crisis,Pro Bono Law Clinics,604-878-7400,"Delta, BC",http://www.deltaassist.com/community/pro-bono-law-clinics,Free pro bono law clinics through Access Justice. 1/2 hour appointment with a lawyer. Call to book.,"law, legal, lawyer",,
Families,Help in a Crisis,Emergency Line,911,"Delta, BC",https://www.ecomm911.ca/,"For Fire,  Police & Ambulance","help, crisis",,
Pregnancy & Babies,Help in a Crisis,Crisis Line,310-6789,"Delta, BC",http://www.crisislines.bc.ca/,Crisis line for any one,"help, crisis",,
